trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-131.04857907779206,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-78.83534068747342,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-130.3891200292465,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-125.46678459088525,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-74.37120872609363,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-53.810159116154736,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-75.41383832954395,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-157.92864839253008,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-115.15831936966421,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-179.14058470659606,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-166.09708357305192,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-70.98938047034666,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-128.5213024462803,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,7.558113469676151,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-15.793462360121241,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-197.30023055637488,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-12.844782998237745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-3.4448603087636873,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-12.845907704767686,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,4.657081969792608,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-35.962528698893365,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,9.054961790473362,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,3,-61.66823868723585,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,3,-11.905613482299852,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,11.938503908634651,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,8,1.3318327913102967,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-35.631358065072185,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,23.547061065159067,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,-31.770231617866266,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,12,-83.0322700555721,"{0: 9, 1: 0, 2: 0, 3: 3, 4: 1}",1
