trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-85.93719276319625,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-166.32840668608748,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,9,-29.191748246537664,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-117.9526351390528,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-191.90587958686496,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-168.24997331216167,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-69.7472571137073,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-61.6604938240432,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-136.2682522635757,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359596}",20,0,-104.98523815653621,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-83.68237369823646,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,11,-8.526845315042332,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-203.83668488761018,"{0: 19, 1: 1, 2: 4, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-52.36865269329585,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-170.77062433094312,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-79.62709173557928,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-128.19222489116626,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-91.0681385209905,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-117.66219943233934,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-12.47282549719898,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-105.8603033086268,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,4,-130.41290857506914,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",30,4,-122.23141034957129,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,14,-8.584160193624886,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-98.04161598583578,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-96.274314292588,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,8,-139.59813187287716,"{0: 10, 1: 1, 2: 9, 3: 1, 4: 1}",1
