trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.71628544639798,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.22513021521323,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,10,-160.84612477882263,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-135.98130358734534,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.64713922326611,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.92308019748542,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.24629653355944,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.78916092643419,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.81873473056288,"{0: 8, 1: 8, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.22348431425911,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.76116533556427,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.90294857436865,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.3295338856816,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.7407099218691,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.38387024647699,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.9655929984872,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.70940367389338,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.33476160454183,"{0: 17, 1: 7, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.13259536397311,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.70374738202077,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.85123892507158,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.99014080995863,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.2169343132943,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-240.0831277380214,"{0: 18, 1: 5, 2: 6, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.76187613228863,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.727871332446036,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.65524931849767,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.87743478176108,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.82289669708373,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.29496391887811,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
